type,label
http://www.wikidata.org/entity/Q1129743,Filialkirche
http://www.wikidata.org/entity/Q1129743,bijkerk
http://www.wikidata.org/entity/Q1129743,filial church
http://www.wikidata.org/entity/Q112983,memoir
http://www.wikidata.org/entity/Q112983,Memoiren
http://www.wikidata.org/entity/Q112983,memoires
http://www.wikidata.org/entity/Q112983,muistelmateos
http://www.wikidata.org/entity/Q11303,Nebotičnik
http://www.wikidata.org/entity/Q11303,pilvenpiirtäjä
http://www.wikidata.org/entity/Q11303,skyscraper
http://www.wikidata.org/entity/Q11303,wolkenkrabber
http://www.wikidata.org/entity/Q11303,Wolkenkratzer
http://www.wikidata.org/entity/Q113056217,gland type
http://www.wikidata.org/entity/Q113145171,type of chemical entity
http://www.wikidata.org/entity/Q113145171,vrsta kemične snovi
http://www.wikidata.org/entity/Q11315,Einkaufszentrum
http://www.wikidata.org/entity/Q11315,winkelcentrum
http://www.wikidata.org/entity/Q11315,shopping center
http://www.wikidata.org/entity/Q11315,ostoskeskus
http://www.wikidata.org/entity/Q113242258,Slavonic Incunabula
http://www.wikidata.org/entity/Q11329200,Panoramastraße
http://www.wikidata.org/entity/Q11329200,panoramaweg
http://www.wikidata.org/entity/Q11329200,panoramic route
http://www.wikidata.org/entity/Q11331347,calvarieberg
http://www.wikidata.org/entity/Q11331347,calvary hill
http://www.wikidata.org/entity/Q11331347,Kalvarienberg
http://www.wikidata.org/entity/Q11344,kemični element
http://www.wikidata.org/entity/Q11344,chemical element
http://www.wikidata.org/entity/Q11344,chemisches Element
http://www.wikidata.org/entity/Q11344,alkuaine
http://www.wikidata.org/entity/Q11344,chemisch element
http://www.wikidata.org/entity/Q11345,enačba
http://www.wikidata.org/entity/Q11345,equation
http://www.wikidata.org/entity/Q11345,Gleichung
http://www.wikidata.org/entity/Q11345,wiskundige vergelijking
http://www.wikidata.org/entity/Q11345,yhtälö
http://www.wikidata.org/entity/Q1137809,courthouse
http://www.wikidata.org/entity/Q1137809,gerechtsgebouw
http://www.wikidata.org/entity/Q1137809,Gerichtsgebäude
http://www.wikidata.org/entity/Q1137809,oikeustalo
http://www.wikidata.org/entity/Q1137809,sodišče
http://www.wikidata.org/entity/Q1138178,Pflanzentaxonomie
http://www.wikidata.org/entity/Q1138178,plant taxonomy
http://www.wikidata.org/entity/Q1138178,plantentaxonomie
http://www.wikidata.org/entity/Q11396105,Biogeographic Boundary
http://www.wikidata.org/entity/Q11396180,bibliotheekvestiging
http://www.wikidata.org/entity/Q11396180,lähikirjasto
http://www.wikidata.org/entity/Q11396180,library branch
http://www.wikidata.org/entity/Q11396180,Zweigstelle einer Bibliothek
http://www.wikidata.org/entity/Q1140158,endgame study
http://www.wikidata.org/entity/Q1140158,Šahovska študija
http://www.wikidata.org/entity/Q1140158,Studie
http://www.wikidata.org/entity/Q11410,Spiel
http://www.wikidata.org/entity/Q11410,spel
http://www.wikidata.org/entity/Q11410,igra
http://www.wikidata.org/entity/Q11410,game
http://www.wikidata.org/entity/Q11410,peli
http://www.wikidata.org/entity/Q11416914,Luettelo komeetoista
http://www.wikidata.org/entity/Q11416914,periodic comet
http://www.wikidata.org/entity/Q11416914,periodična kometa
http://www.wikidata.org/entity/Q11416914,periodieke komeet
http://www.wikidata.org/entity/Q11424,elokuva
http://www.wikidata.org/entity/Q11424,film
http://www.wikidata.org/entity/Q11424,film
http://www.wikidata.org/entity/Q11424,film
http://www.wikidata.org/entity/Q11424,Film
http://www.wikidata.org/entity/Q1143604,proceedings
http://www.wikidata.org/entity/Q1143604,zbornik
http://www.wikidata.org/entity/Q1143604,Tagungsband
http://www.wikidata.org/entity/Q1143604,konferenssijulkaisu
http://www.wikidata.org/entity/Q114375,Abhandlung
http://www.wikidata.org/entity/Q114375,mémoire
http://www.wikidata.org/entity/Q114375,mémoire
http://www.wikidata.org/entity/Q11446,ladja
http://www.wikidata.org/entity/Q11446,laiva
http://www.wikidata.org/entity/Q11446,Schiff
http://www.wikidata.org/entity/Q11446,schip
http://www.wikidata.org/entity/Q11446,ship
http://www.wikidata.org/entity/Q1145276,Izmišljena država
http://www.wikidata.org/entity/Q1145276,kuvitteellinen maa
